response,coverage,education,employmentstatus,gender,marital_status,renew_offer_type,sales_channel,vehicle_class,vehicle_size,state_location,combined_policy
No,Basic,Bachelor,Employed,F,Married,Offer1,Agent,Two-Door Car,Medsize,Washington - Suburban,Corporate Auto - Corporate L3
No,Extended,Bachelor,Unemployed,F,Single,Offer3,Agent,Four-Door Car,Medsize,Arizona - Suburban,Personal Auto - Personal L3
No,Premium,Bachelor,Employed,F,Married,Offer1,Agent,Two-Door Car,Medsize,Nevada - Suburban,Personal Auto - Personal L3
No,Basic,Bachelor,Unemployed,M,Married,Offer1,Call Center,SUV,Medsize,California - Suburban,Corporate Auto - Corporate L2
No,Basic,Bachelor,Employed,M,Single,Offer1,Agent,Four-Door Car,Medsize,Washington - Rural,Personal Auto - Personal L1
Yes,Basic,Bachelor,Employed,F,Married,Offer2,Web,Two-Door Car,Medsize,Oregon - Rural,Personal Auto - Personal L3
Yes,Basic,College,Employed,F,Married,Offer1,Agent,Four-Door Car,Medsize,Oregon - Suburban,Corporate Auto - Corporate L3
No,Premium,Master,Unemployed,M,Single,Offer1,Agent,Four-Door Car,Medsize,Arizona - Urban,Corporate Auto - Corporate L3
Yes,Basic,Bachelor,Medical Leave,M,Divorced,Offer1,Agent,Four-Door Car,Medsize,Oregon - Suburban,Corporate Auto - Corporate L3
No,Extended,College,Employed,F,Married,Offer2,Branch,Four-Door Car,Medsize,Oregon - Urban,Special Auto - Special L2
No,Basic,College,Unemployed,M,Single,Offer1,Agent,Four-Door Car,Small,California - Suburban,Personal Auto - Personal L3
No,Basic,College,Unemployed,F,Married,Offer2,Agent,SUV,Medsize,California - Suburban,Personal Auto - Personal L3
No,Premium,Master,Employed,M,Married,Offer2,Agent,Four-Door Car,Medsize,California - Urban,Corporate Auto - Corporate L1
Yes,Basic,High School or Below,Employed,M,Married,Offer2,Branch,SUV,Medsize,Arizona - Suburban,Corporate Auto - Corporate L3
No,Basic,College,Employed,M,Single,Offer4,Call Center,Four-Door Car,Medsize,California - Urban,Corporate Auto - Corporate L3
No,Basic,Bachelor,Employed,F,Married,Offer2,Branch,Four-Door Car,Medsize,Oregon - Rural,Corporate Auto - Corporate L2
No,Basic,High School or Below,Medical Leave,M,Married,Offer2,Call Center,Two-Door Car,Medsize,Nevada - Suburban,Personal Auto - Personal L3
No,Basic,College,Medical Leave,M,Married,Offer3,Call Center,SUV,Medsize,California - Suburban,Personal Auto - Personal L2
No,Basic,College,Employed,M,Married,Offer2,Branch,Four-Door Car,Medsize,Oregon - Urban,Personal Auto - Personal L2
No,Premium,High School or Below,Employed,F,Married,Offer1,Call Center,Four-Door Car,Small,California - Suburban,Corporate Auto - Corporate L2
No,Basic,High School or Below,Employed,M,Single,Offer1,Branch,Two-Door Car,Medsize,Oregon - Suburban,Personal Auto - Personal L2
No,Extended,Bachelor,Disabled,F,Divorced,Offer4,Call Center,Four-Door Car,Medsize,Washington - Suburban,Personal Auto - Personal L3
Yes,Basic,Bachelor,Medical Leave,M,Divorced,Offer1,Agent,Four-Door Car,Medsize,Arizona - Suburban,Personal Auto - Personal L3
No,Basic,Bachelor,Unemployed,F,Single,Offer1,Branch,Four-Door Car,Medsize,Nevada - Suburban,Corporate Auto - Corporate L3
No,Basic,Bachelor,Disabled,F,Married,Offer2,Branch,Four-Door Car,Medsize,California - Suburban,Corporate Auto - Corporate L2
No,Basic,College,Employed,M,Married,Offer2,Call Center,Four-Door Car,Large,Oregon - Suburban,Personal Auto - Personal L3
No,Premium,Bachelor,Unemployed,F,Single,Offer1,Agent,Four-Door Car,Small,California - Suburban,Personal Auto - Personal L3
No,Extended,Master,Disabled,F,Married,Offer1,Branch,SUV,Medsize,Washington - Urban,Corporate Auto - Corporate L1
No,Premium,College,Employed,F,Single,Offer1,Call Center,Four-Door Car,Large,Arizona - Suburban,Personal Auto - Personal L3
No,Extended,Master,Employed,F,Married,Offer2,Branch,Four-Door Car,Small,Oregon - Suburban,Personal Auto - Personal L3
No,Basic,College,Employed,M,Married,Offer4,Call Center,Four-Door Car,Small,Arizona - Suburban,Personal Auto - Personal L2
No,Extended,High School or Below,Employed,M,Married,Offer2,Agent,Luxury SUV,Medsize,Nevada - Urban,Corporate Auto - Corporate L2
No,Basic,Bachelor,Unemployed,M,Married,Offer1,Call Center,Four-Door Car,Medsize,California - Urban,Personal Auto - Personal L3
No,Basic,Bachelor,Employed,M,Married,Offer1,Agent,Two-Door Car,Small,Washington - Suburban,Corporate Auto - Corporate L2
No,Basic,Bachelor,Employed,F,Married,Offer3,Web,Four-Door Car,Medsize,Oregon - Rural,Corporate Auto - Corporate L1
No,Basic,High School or Below,Employed,F,Married,Offer1,Branch,Four-Door Car,Medsize,Arizona - Urban,Personal Auto - Personal L1
No,Premium,Bachelor,Employed,M,Married,Offer1,Agent,Four-Door Car,Small,California - Suburban,Personal Auto - Personal L3
No,Extended,Master,Employed,F,Married,Offer2,Web,Four-Door Car,Small,Oregon - Suburban,Personal Auto - Personal L3
No,Extended,Bachelor,Unemployed,M,Single,Offer3,Agent,Two-Door Car,Small,Oregon - Suburban,Personal Auto - Personal L2
No,Basic,High School or Below,Employed,M,Divorced,Offer1,Call Center,Four-Door Car,Medsize,Arizona - Rural,Personal Auto - Personal L3
No,Basic,High School or Below,Unemployed,F,Married,Offer3,Call Center,Two-Door Car,Medsize,Nevada - Suburban,Corporate Auto - Corporate L3
Yes,Basic,College,Employed,F,Single,Offer2,Agent,Two-Door Car,Medsize,Oregon - Rural,Corporate Auto - Corporate L3
Yes,Extended,Bachelor,Employed,F,Married,Offer2,Agent,Four-Door Car,Small,California - Suburban,Personal Auto - Personal L2
No,Basic,High School or Below,Employed,M,Married,Offer4,Agent,Sports Car,Medsize,Arizona - Suburban,Personal Auto - Personal L2
No,Basic,College,Employed,M,Married,Offer2,Call Center,Four-Door Car,Large,Washington - Suburban,Special Auto - Special L2
No,Premium,Doctor,Disabled,F,Married,Offer1,Branch,SUV,Medsize,Oregon - Rural,Personal Auto - Personal L2
No,Basic,Bachelor,Unemployed,M,Single,Offer3,Call Center,Four-Door Car,Medsize,Arizona - Suburban,Personal Auto - Personal L3
